# upstream_directory|color_svg_path|3d_png_path|korean_aliases
Bullseye|assets/Bullseye/Color/bullseye_color.svg|assets/Bullseye/3D/bullseye_3d.png|목표,과녁,달성
Fire|assets/Fire/Color/fire_color.svg|assets/Fire/3D/fire_3d.png|열정,습관,연속
Rocket|assets/Rocket/Color/rocket_color.svg|assets/Rocket/3D/rocket_3d.png|성장,도전,시작
Books|assets/Books/Color/books_color.svg|assets/Books/3D/books_3d.png|공부,독서,학습
Graduation cap|assets/Graduation cap/Color/graduation_cap_color.svg|assets/Graduation cap/3D/graduation_cap_3d.png|자격증,졸업,합격
Running shoe|assets/Running shoe/Color/running_shoe_color.svg|assets/Running shoe/3D/running_shoe_3d.png|달리기,운동,러닝
Bicycle|assets/Bicycle/Color/bicycle_color.svg|assets/Bicycle/3D/bicycle_3d.png|자전거,운동,라이딩
Flexed biceps|assets/Flexed biceps/Default/Color/flexed_biceps_color_default.svg|assets/Flexed biceps/Default/3D/flexed_biceps_3d_default.png|근력,운동,건강
Trophy|assets/Trophy/Color/trophy_color.svg|assets/Trophy/3D/trophy_3d.png|성공,우승,성과
Seedling|assets/Seedling/Color/seedling_color.svg|assets/Seedling/3D/seedling_3d.png|성장,습관,새싹
Chart increasing|assets/Chart increasing/Color/chart_increasing_color.svg|assets/Chart increasing/3D/chart_increasing_3d.png|성과,상승,통계
Money bag|assets/Money bag/Color/money_bag_color.svg|assets/Money bag/3D/money_bag_3d.png|저축,재정,돈
Coin|assets/Coin/Color/coin_color.svg|assets/Coin/3D/coin_3d.png|저축,재정,동전
Briefcase|assets/Briefcase/Color/briefcase_color.svg|assets/Briefcase/3D/briefcase_3d.png|커리어,업무,직장
Laptop|assets/Laptop/Color/laptop_color.svg|assets/Laptop/3D/laptop_3d.png|개발,업무,공부
Carrot|assets/Carrot/Color/carrot_color.svg|assets/Carrot/3D/carrot_3d.png|식단,건강,채소
Droplet|assets/Droplet/Color/droplet_color.svg|assets/Droplet/3D/droplet_3d.png|물,수분,건강
Alarm clock|assets/Alarm clock/Color/alarm_clock_color.svg|assets/Alarm clock/3D/alarm_clock_3d.png|기상,시간,루틴
Check mark|assets/Check mark/Color/check_mark_color.svg|assets/Check mark/3D/check_mark_3d.png|완료,체크,달성
Sparkles|assets/Sparkles/Color/sparkles_color.svg|assets/Sparkles/3D/sparkles_3d.png|정리,새로움,빛남
